"sid","trialNum","category","storyidx","nextCategory","nextData","nextDataRel","categoryRepetition","storyRepetition"
85,12,"Mode",23,"Mode","modified","related",TRUE,TRUE
85,13,"Mode",23,"Mode","modified","related",TRUE,TRUE
85,14,"Mode",23,"Mode","random","unrelated",TRUE,FALSE
85,15,"Mode",13,NA,NA,NA,NA,NA
120,0,"Mean",19,"Mean","modified","related",TRUE,TRUE
120,1,"Mean",19,"Mean","modified","related",TRUE,TRUE
120,2,"Mean",19,"Mean","modified","related",TRUE,TRUE
120,3,"Mean",19,"Mean","modified","related",TRUE,TRUE
120,4,"Mean",19,"Mean","modified","related",TRUE,TRUE
120,5,"Mean",19,"Median","identical","related",FALSE,TRUE
120,6,"Median",19,"Median","random","unrelated",TRUE,FALSE
120,7,"Median",18,"Median","random","unrelated",TRUE,FALSE
120,8,"Median",16,"Median","random","unrelated",TRUE,FALSE
120,9,"Median",10,"Median","random","unrelated",TRUE,FALSE
120,10,"Median",27,"Median","random","unrelated",TRUE,FALSE
120,11,"Median",32,"Mode","random","unrelated",FALSE,FALSE
120,12,"Mode",17,"Mode","random","unrelated",TRUE,FALSE
120,13,"Mode",2,"Mode","modified","related",TRUE,TRUE
120,14,"Mode",2,"Mode","modified","related",TRUE,TRUE
120,15,"Mode",2,"Mode","modified","related",TRUE,TRUE
120,16,"Mode",2,NA,NA,NA,NA,NA
134,0,"Mean",19,"Mean","modified","related",TRUE,TRUE
134,1,"Mean",19,"Mean","random","unrelated",TRUE,FALSE
134,2,"Mean",15,"Mean","modified","related",TRUE,TRUE
134,3,"Mean",15,"Mean","modified","related",TRUE,TRUE
134,4,"Mean",15,"Median","identical","related",FALSE,TRUE
134,5,"Median",15,"Median","modified","related",TRUE,TRUE
134,6,"Median",15,"Median","random","unrelated",TRUE,FALSE
134,7,"Median",16,"Median","modified","related",TRUE,TRUE
134,8,"Median",16,"Median","random","unrelated",TRUE,FALSE
134,9,"Median",22,"Mode","identical","related",FALSE,TRUE
134,10,"Mode",22,"Mode","modified","related",TRUE,TRUE
134,11,"Mode",22,"Mode","modified","related",TRUE,TRUE
134,12,"Mode",22,"Mode","random","unrelated",TRUE,FALSE
134,13,"Mode",7,"Mode","random","unrelated",TRUE,FALSE
134,14,"Mode",28,NA,NA,NA,NA,NA
148,0,"Mean",23,"Mean","modified","related",TRUE,TRUE
148,1,"Mean",23,"Mean","random","unrelated",TRUE,FALSE
148,2,"Mean",3,"Mean","modified","related",TRUE,TRUE
148,3,"Mean",3,"Mean","random","unrelated",TRUE,FALSE
148,4,"Mean",1,"Mean","modified","related",TRUE,TRUE
148,5,"Mean",1,"Median","identical","related",FALSE,TRUE
148,6,"Median",1,"Median","random","unrelated",TRUE,FALSE
148,7,"Median",11,"Median","random","unrelated",TRUE,FALSE
148,8,"Median",15,"Median","random","unrelated",TRUE,FALSE
148,9,"Median",17,"Median","random","unrelated",TRUE,FALSE
148,10,"Median",2,"Median","modified","related",TRUE,TRUE
148,11,"Median",2,"Mode","identical","related",FALSE,TRUE
148,12,"Mode",2,"Mode","modified","related",TRUE,TRUE
148,13,"Mode",2,"Mode","random","unrelated",TRUE,FALSE
148,14,"Mode",14,"Mode","modified","related",TRUE,TRUE
148,15,"Mode",14,"Mode","modified","related",TRUE,TRUE
148,16,"Mode",14,"Mode","modified","related",TRUE,TRUE
148,17,"Mode",14,NA,NA,NA,NA,NA
157,0,"Mean",21,"Mean","modified","related",TRUE,TRUE
157,1,"Mean",21,"Mean","random","unrelated",TRUE,FALSE
157,2,"Mean",29,"Mean","modified","related",TRUE,TRUE
157,3,"Mean",29,"Mean","random","unrelated",TRUE,FALSE
157,4,"Mean",7,"Mean","modified","related",TRUE,TRUE
157,5,"Mean",7,"Median","identical","related",FALSE,TRUE
157,6,"Median",7,"Median","random","unrelated",TRUE,FALSE
157,7,"Median",19,"Median","modified","related",TRUE,TRUE
157,8,"Median",19,"Median","random","unrelated",TRUE,FALSE
157,9,"Median",5,"Median","modified","related",TRUE,TRUE
157,10,"Median",5,"Median","random","unrelated",TRUE,FALSE
157,11,"Median",17,"Mode","identical","related",FALSE,TRUE
157,12,"Mode",17,"Mode","modified","related",TRUE,TRUE
157,13,"Mode",17,"Mode","modified","related",TRUE,TRUE
157,14,"Mode",17,"Mode","random","unrelated",TRUE,FALSE
157,15,"Mode",9,"Mode","modified","related",TRUE,TRUE
157,16,"Mode",9,NA,NA,NA,NA,NA
168,0,"Mean",5,"Mean","modified","related",TRUE,TRUE
168,1,"Mean",5,"Mean","random","unrelated",TRUE,FALSE
168,2,"Mean",12,"Mean","modified","related",TRUE,TRUE
168,3,"Mean",12,"Mean","modified","related",TRUE,TRUE
168,4,"Mean",12,"Median","identical","related",FALSE,TRUE
168,5,"Median",12,"Median","modified","related",TRUE,TRUE
168,6,"Median",12,"Median","modified","related",TRUE,TRUE
168,7,"Median",12,"Median","modified","related",TRUE,TRUE
168,8,"Median",12,"Median","modified","related",TRUE,TRUE
168,9,"Median",12,"Mode","identical","related",FALSE,TRUE
168,10,"Mode",12,"Mode","random","unrelated",TRUE,FALSE
168,11,"Mode",1,"Mode","random","unrelated",TRUE,FALSE
168,12,"Mode",27,"Mode","random","unrelated",TRUE,FALSE
